Platform,1_hop_p50,1_hop_p95,2_hop_p50,2_hop_p95,point_lookup_p50,point_lookup_p95,indexed_lookup_p50,indexed_lookup_p95,aggregation_p50,aggregation_p95,mixed_throughput_c1,mixed_throughput_c10,mixed_throughput_c40
cognodb,319.87714767456055,400.4650950431823,323.6888647079468,472.6405382156372,325.85787773132324,494.9657201766968,320.28210163116455,452.59919166564936,406.66961669921875,1083.5076451301566,3.1,28.1,112.4
neo4j,181.8711757659912,239.70457315444946,184.8771572113037,248.99644851684567,179.5942783355713,239.86594676971436,181.49614334106445,234.23240184783933,194.76675987243652,240.2380108833313,5.3,10.3,12.4
memgraph,0.6309747695922852,2.4952411651611324,0.7081031799316406,2.7342081069946285,0.6123781204223633,3.1979203224182116,1.1366605758666992,2.6731729507446285,7.2040557861328125,61.15245819091797,641.3,583.0,634.6
arangodb,335.61956882476807,501.6578674316405,376.96993350982666,581.483244895935,321.66171073913574,481.96319341659546,325.700044631958,462.9534363746643,349.5544195175171,531.5685749053954,3.0,24.0,77.1
